"USER_ID_hash","NvaPurchaseOnSesh","NvaPurchaseOnPage","No_Of_SessionsWithP","No_OfSeshPerUser","ConversionRate","TotalPgViewsPerUser","NumberOfCouponsBought","totaltime_peruser","RevenuePerUser"
"0000b53e182165208887ba65c079fc21",10,74,1,11,9.09090909090909,75,2,161.35,5960
"00035b86e6884589ec8d28fbf2fe7757",0,1,1,1,100,2,2,6.65,2980
"0005b1068d5f2b8f2a7c978fcfe1ca06",1,5,1,2,50,6,1,10.3,19800
"000cc06982785a19e2a2fdb40b1c9d59",118,250,17,138,12.3188405797101,270,23,428.066666666667,32835
"0013518e41c416cd6a181d277dd8ca0b",11,25,3,15,20,29,4,93.4166666666667,17400
"001acdee812a18acfd7509172bed5700",21,114,11,33,33.3333333333333,126,17,253.483333333333,22590
"001fd7876e3aa29393537c6baf308e43",9,23,1,10,10,24,1,44.6,1790
"002383753c1e5d6305c8aff6f89e26d6",0,1,0,1,0,1,NA,0,NA
"0025cae7997d25ea5cf8851bb099c798",5,26,1,6,16.6666666666667,27,2,125.316666666667,2960
"002822059a01d895fad84f2f2ff5c1f1",25,45,2,27,7.40740740740741,47,2,131.55,4480
"002ae30377cd30f65652e52618e8b2d6",130,224,3,134,2.23880597014925,228,7,465.633333333333,46980
"002b08971471e6083dd716f6c3bb6572",36,74,3,39,7.69230769230769,77,4,107.966666666667,2850
"002bbdd51b2a042c051c66c43b55439a",78,155,4,82,4.8780487804878,159,6,240.816666666667,11488
"002f5c29fdf99b4115bf4a93c9241d19",0,17,0,4,0,17,NA,47.8666666666667,NA
"003a7b4941222b7e507fdc9e95de2cc1",161,320,7,168,4.16666666666667,327,12,278.033333333333,15340
"003e02424d0a6ec3ee80d231939fac7c",55,88,4,59,6.77966101694915,92,8,83.1333333333333,12650
"0042fc64a751d0b98e9148e3c366d319",-1,6,1,2,50,9,3,11.3166666666667,17940
"00441c9b51cfe60b82bdf7a20ad79fc8",172,356,13,186,6.98924731182796,370,15,415.883333333333,14599
"00454d0ad87f2e423cc3cc201fde8c8c",81,128,1,82,1.21951219512195,129,1,137.95,2500
"0047658498c5026a2bfa33b6f0573766",27,122,4,33,12.1212121212121,128,10,445.916666666667,27400
"0047a9d43268c7cddf4a874c3dbb6f9f",2,8,1,4,25,10,2,10.3333333333333,2980
"004c5867575223ca7d7d3de4e8e1e23a",1,12,3,4,75,15,4,14.7666666666667,1100
"004d75de304e67612ec60e675af66839",376,1394,12,389,3.08483290488432,1407,23,1923.5,65140
"004e1508270f3c9a0eb3cdfe89470c12",10,47,1,11,9.09090909090909,48,2,89.6,17850
"004e3f8a3635f9a0144771feaf8a1e32",6,15,1,8,12.5,17,4,22.5833333333333,28000
"004f67d329e3e56adef98c9aa8074e97",5,41,1,6,16.6666666666667,42,2,107.716666666667,12760
"004f6fe912f2fa81036a47204eb69451",5,9,1,6,16.6666666666667,10,1,3.45,2500
"0051705e1aedf39d6c3019ef7a71d480",133,484,14,155,9.03225806451613,506,30,1307.86666666667,59859
"00563f5737892fc2f75f70bf794f4b43",2,6,1,3,33.3333333333333,7,1,13.7166666666667,8800
"0057e72575079113710648ae0f726d97",0,81,0,40,0,81,NA,177.55,NA
"00595dfad804feb7abf7a5ede886d61f",1,5,2,3,66.6666666666667,7,3,20.8666666666667,3228
"005af1a93202b483fb9dc9111b3221a3",0,1,1,1,100,2,1,0.833333333333333,500
"005c745794b032c959b84ab8d7719cc8",17,32,4,21,19.047619047619,36,4,63.55,14240
"005d6db2f6c9a429bca5422eae28c7fc",47,133,4,53,7.54716981132075,139,6,254.866666666667,12755
"0061fbd45a97bee09b4e35be3bc49806",165,299,9,175,5.14285714285714,309,11,570.9,13205
"0063b1e381d0cdd8c26cde7900be1cf1",0,5,0,2,0,5,NA,3.56666666666667,NA
"0065e8f5d12a93fc60f6912843a93d64",6,54,2,8,25,56,5,140.383333333333,4700
"0066365bbd17b7bd5bf354588bab2bc2",89,271,7,97,7.21649484536082,279,9,1226.95,29180
"006caac9a3de3abdaff418244b47a3d8",5,32,2,8,25,35,4,47.65,3430
"006dee1e1744c8c400290ca744dc42e8",0,1,1,1,100,2,1,3.46666666666667,1560
"006e24d0f0e33f720509fcb478e67f9f",1,3,2,3,66.6666666666667,5,2,47.85,500
"006e3bcaf52da21f62710adb9a6ec16c",13,29,3,16,18.75,32,3,77.1166666666667,3960
"0071ebbe151efdb94dbf1be4067f01ee",2,4,1,3,33.3333333333333,5,1,10.5833333333333,4980
"00725aaf2b92b4e9020942abcd2f1d35",2,13,1,3,33.3333333333333,14,3,73.9666666666667,8940
"00769e4991d8852c84831e2b577b13ae",9,19,1,10,10,20,1,13.7833333333333,1990
"0077ce7f3a971391a130ea9202066765",132,417,14,148,9.45945945945946,433,16,728.833333333333,34250
"007b9584c411dee9839f8d8408c6c6d0",1,2,1,2,50,3,1,3.26666666666667,1000
"0083cc12fd8a104d507bc3a18c8a6013",150,570,31,184,16.8478260869565,604,69,1155.13333333333,125322
"0084c56c3ce9fbdad9afe30c3306b484",20,39,3,23,13.0434782608696,42,4,62.4,4000
"0087d58cc05e681a87209cd4088c60df",5,12,1,6,16.6666666666667,13,30,57.3833333333333,59400
"0088f6ae84347f0ba2183ef2951feb24",1,6,4,5,80,10,4,51.75,1000
"008a64b6765a05c30e23095cfb2a348f",110,178,12,122,9.83606557377049,190,12,258.566666666667,2940
"008ced18cd570db7c9ea404ee113073c",269,768,24,299,8.02675585284281,798,56,1551.26666666667,205490
"008d7c89b38f5a1b45600dc4e245a4b6",25,42,3,28,10.7142857142857,45,3,90.6333333333333,4045
"008db2e1a0e0bd1d64b109ca85a3e18d",3,7,1,4,25,8,2,17.9,18900
"009276035c4ebbdc1d53a3ce50613cae",2,12,1,3,33.3333333333333,13,3,30.7166666666667,2970
"0095063608af535d1165f3100821add1",11,27,3,15,20,31,6,115,9656
"0095088790390b45d29179197795ad0a",156,266,8,164,4.8780487804878,274,12,244.633333333333,52450
"00955186658c69b439228db929b8c8ad",2,9,1,3,33.3333333333333,10,1,21.8166666666667,2490
"009644d6ad0ee14288b15cc9e4fc7dff",0,2,1,1,100,3,2,13.75,7800
"009ef4c4adfbb23defa08fabb6f4ad4f",0,1,2,2,100,3,2,0.283333333333333,1790
"00a3c309ae38cb292409d37734c983e8",0,2,1,1,100,3,1,1.71666666666667,3980
"00a5f11834daa97b383ee72d1ff06b0a",64,146,3,67,4.47761194029851,149,3,169,5080
"00a602cba79e304ce12a589d69e42e13",5,11,2,7,28.5714285714286,13,2,41.7333333333333,1830
"00a763d2abcef5500e63cfbdfcb457d5",1,16,1,2,50,17,1,27.5166666666667,1960
"00a7987eed42afa3148504fa7bdbf9d0",16,21,1,17,5.88235294117647,22,1,17.2833333333333,400
"00ab91e8845b7907dc3e95903de56a49",7,19,2,9,22.2222222222222,21,2,34.1833333333333,500
"00ab9805f12b99b45a478c88ba635309",0,134,0,23,0,134,NA,351.066666666667,NA
"00b2aae79dc9e4c48035fa05973aed44",77,195,5,82,6.09756097560976,200,5,342.883333333333,9980
"00b3ab4c645478ff03309b36086bc0c1",2,7,1,3,33.3333333333333,8,4,27.0333333333333,5000
"00b4a2b55ba6f85783936da1b307acea",1,4,2,3,66.6666666666667,6,8,36.0833333333333,3600
"00c08ee9bcc0fbeb09b042ecbb2d9693",287,1209,5,296,1.68918918918919,1218,17,3048.96666666667,112340
"00c311766e6f97432be7e9fce89844c7",348,930,1,349,0.286532951289398,931,1,2143.3,0
"00c890acad2cbae1a15e8e9b1c38b6ef",2,7,1,3,33.3333333333333,8,2,21.2833333333333,17400
"00c91024113d88948db3f1dbe625b97a",0,6,0,2,0,6,NA,35.7333333333333,NA
"00cbe557c2896c94595f23f7dfdf3dc7",95,236,11,110,10,251,20,551.3,62070
"00cc3af220d2227305a14fda56bc5398",46,190,4,50,8,194,10,322.866666666667,22470
"00cf131695355ed619b05511fafb4498",27,45,3,32,9.375,50,5,38.3666666666667,5465
"00cf81b17ac6fae8834d699e9c72fb76",70,192,5,77,6.49350649350649,199,9,517.483333333333,12460
"00d46e2af5a81dac411c601e3c61d3a6",12,44,3,16,18.75,48,8,49.8833333333333,12198
"00d6e43dfa3eea48999e62305fd23ac7",142,367,20,163,12.2699386503067,388,27,412.8,39272
"00e3bd948d36ed29ddedfa07f13cab85",19,101,3,22,13.6363636363636,104,3,203.716666666667,4180
"00e741c48bd667213c05d164f21c9d7b",28,64,2,30,6.66666666666667,66,2,122.266666666667,1080
